Code,Code Description,Number of Occurences
1825,Drug Violation,75
2628,Phone Call Complaints,31
1870,Drug Violation,86
351,Robbery,181
1602,Prostitution,161
3122,Aircraft,36
3303,Assembly or Gathering Violations,29
1807,Drug Violation,6
2636,Prisoner Related Incidents,9
2611,Other,12
618,Larceny,16
3203,Firearm Discovery,10
3302,Assembly or Gathering Violations,27
2605,Offenses Against Child / Family,8
3403,Police Service Incidents,27
2004,Offenses Against Child / Family,59
2641,Other,15
2631,Other,10
3029,Prisoner Related Incidents,23
2642,Missing Person Reported,31
1502,Firearm Violations,13
2672,Biological Threat,2
121,Manslaughter,5
1601,Prostitution,29
2606,Prisoner Related Incidents,1
1901,Gambling,8
2664,Other,9
3115,INVESTIGATE PERSON,4
1610,HUMAN TRAFFICKING,7
123,Manslaughter,2
1620,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,2
1603,Prostitution,4
2609,Drug Violation,1
112,Manslaughter,1
624,Larceny From Motor Vehicle,1
633,Larceny,4
403,Aggravated Assault,6
404,Aggravated Assault,1
1863,Drug Violation,1
803,Simple Assault,3
770,Auto Theft,2
349,Robbery,1
432,Aggravated Assault,1
339,Robbery,3
1002,Counterfeiting,2
335,Robbery,1
627,Larceny,1
629,Larceny,2
1302,Recovered Stolen Property,2
315,Robbery,1
634,Larceny From Motor Vehicle,1
1866,Drug Violation,2
402,Aggravated Assault,1
2910,Violations,2
637,Larceny,1
639,Larceny,1
511,Residential Burglary,1
714,Auto Theft,1
1105,Fraud,1
527,Burglary - No Property Taken,1
623,Larceny,2
338,Robbery,1
547,Burglary - No Property Taken,1
334,Robbery,1
530,Commercial Burglary,1
1864,Drug Violation,1
